,artist_name,track_name,track_id,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence
21,BROCKHAMPTON,LIQUID,557JEBNqSn0RU4H5RtY286,0.423,0.639,0.631,0.709,-5.98,0.107,140.121,0.531
22,BROCKHAMPTON,DISTRICT,7oYvZtOelvW0mDrcUZ3m67,0.0515,0.66,0.738,0.211,-6.728,0.0786,122.525,0.515
23,Kanye West,Black Skinhead,722tgOgdIbNe3BEyLnejw4,0.00112,0.766,0.821,0.168,-6.124,0.268,130.073,0.299
24,BROCKHAMPTON,FACE,5bknBRjKJZ643DAN2w8Yoy,0.591,0.945,0.702,0.0788,-5.016,0.12,119.887,0.678
25,88rising,Peach Jam,6dktyiCWz2JYGmcPQ5D5dY,0.0175,0.857,0.668,0.101,-6.816,0.052,89.986,0.624
26,DEAN,love,6wcRv0UBvEH9NCIA3IVyQs,0.00125,0.582,0.67,0.105,-6.69,0.0483,109.993,0.37
27,BROCKHAMPTON,BOOGIE,3NuN59jpH3B5cNa2M4r7XG,0.0137,0.604,0.933,0.37,-3.034,0.214,110.029,0.28
28,BROCKHAMPTON,WEIGHT,6tGwDY47NZVeQ5X83HDK6u,0.114,0.451,0.746,0.297,-6.78,0.187,160.259,0.273
29,JPEGMAFIA,Free The Frail,5r7OKhOQl2vM8SZnCXSQk1,0.515,0.553,0.509,0.154,-7.955,0.353,153.674,0.264
30,BTS,HOME,7lthOBXNue2IvedLRfkod8,0.0142,0.633,0.799,0.194,-4.625,0.0429,142.991,0.535
31,ScHoolboy Q,Numb Numb Juice,4dTiQezDWmEOWcdCbWVWMp,0.00122,0.886,0.47,0.121,-7.756,0.458,156.997,0.184
32,BROCKHAMPTON,JESUS,2WVsyRWVM6xyKkZadKu32E,0.723,0.606,0.368,0.137,-9.236,0.0793,101.549,0.349
33,BROCKHAMPTON,QUEER,4sEnZad9gvLSLkyt8DW11O,0.149,0.773,0.625,0.0619,-7.029,0.176,82.004,0.676
34,ILLENIUM,Good Things Fall Apart (with Jon Bellion),6pooRNiLyYpxZeIA5kJ5EX,0.0128,0.643,0.594,0.118,-5.453,0.0318,144.033,0.442
35,Aminé,REEL IT IN,5qHirGR7M9tdm6C17DlzSY,0.073,0.754,0.342,0.193,-8.677,0.0991,128.981,0.423
36,Daniel Caesar,SUPERPOSITION,45PxuJqJBnPXZKLxoo9Apj,0.911,0.589,0.279,0.087,-11.209,0.0408,115.656,0.333
37,88rising,Plans (feat. Vory),2W8d6AkRCP2qD89z1zK5MJ,0.145,0.917,0.541,0.0409,-8.345,0.0944,101.005,0.752
38,James Blake,Tell Them (feat. Moses Sumney & Metro Boomin),1RYibLoUBdckot7lYPxu96,0.778,0.58,0.469,0.099,-8.655,0.118,176.019,0.289
39,BROCKHAMPTON,STUPID,01oc1NWevpGhtCkiX5flPH,0.117,0.773,0.489,0.163,-6.025,0.141,69.985,0.596
40,JPEGMAFIA,Baby I'm Bleeding,5pUudDDuJgIpgKIGk2zmxv,0.195,0.574,0.859,0.416,-2.401,0.193,171.392,0.828
41,88rising,La Cienega,3iGz75NJkqHubYUMRELLyP,0.506,0.61,0.318,0.102,-9.95,0.148,109.491,0.214
42,Higher Brothers,One Punch Man (feat. Ski Mask The Slump God & Denzel Curry),5XHcYoIcFY7GgV6OHUB00Q,0.0855,0.906,0.726,0.127,-4.965,0.255,132.004,0.354
43,BTS,Mikrokosmos,5hnbE5BF2e8BCk9OMR1UVC,0.125,0.58,0.858,0.0502,-5.212,0.114,174.039,0.475
44,Rich Brian,100 Degrees,2ZDpSQfBdgkooeXw6oj3Uz,0.118,0.756,0.648,0.515,-5.287,0.0731,80.979,0.657
45,Changmo,Selfmade Orange,2KB7PsnsD4LdSP6p8WMLN4,0.123,0.834,0.747,0.112,-7.548,0.0608,129.002,0.22
46,BROCKHAMPTON,BOY BYE,6e7hIhOLH9zvb3zP5O5gt0,0.512,0.869,0.747,0.124,-7.143,0.151,124.932,0.784
47,Sik-K,party (Shut Down) [feat. Crush],1ihIXI2MVklmJdPvIUxExZ,0.27,0.702,0.587,0.0631,-5.816,0.122,140.001,0.773
48,BROCKHAMPTON,I BEEN BORN AGAIN,5fiR9Dy9hNXEPZOLo1kyNb,0.324,0.73,0.634,0.0712,-5.116,0.297,79.554,0.47
49,DEAN,D (Half Moon),3uA8SjMyDtwtt0jLPMQbVD,0.246,0.512,0.765,0.0573,-5.252,0.136,169.709,0.519
